State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS , Volunteer Drivers , Personal Vehicles ,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
,00011,0011,Valley Regional Transit,VRT,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,9/30/2022,1/31/2023,700 E 2Nd St,STE 100,,Meridian,ID,83642,2672,10,http://www.valleyregionaltransit.org/,1736,JZAGN29CGAT6, 66 ," 763,140 ",8785,"Boise City, ID",," 433,180 "," 3,111 ", 139 ,, 70 , 70 ,,,Tier II,,,
,00012,0012,Municipality of Anchorage,MOA PTD,Public Transportation,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,632 W 6Th Ave,STE 810,196650,Anchorage,AK,99501,6312,10,http://www.peoplemover.org/,1707,G6XSV1B8MVB9, 77 ," 291,247 ",2305,"Anchorage, AK",," 249,252 "," 2,718 ", 92 , 47 , 121 , 168 ,,,Tier II,,,
,00014,0T14,Sitka Tribe of Alaska,STA,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,"204 Siginaka Way, Suite 300",,,Sitka,AK,99835,7364,10,www.sitkatribe.org,6669,RSHJU9JW4G59, -   , -   ,2,Alaska Non-UZA,"Sitka ANVSA, AK"," 359,299 ", -   , -   , 2 ,, 2 ,,,Tier II,,,
,00015,0T15,Snoqualmie Indian Tribe,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,9571 Ethan Wade Way Se,,969,Snoqualmie,WA,98065,9577,10,http://www.svtbus.org/,6685,LD6KX4L8KLW9,,,53,Washington Non-UZA,"Snoqualmie Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 3 ,, 3 ,,,Tier II,,,
,00016,0016,RiverCities Transit,RCT,,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,1525 Broadway St,,128,Longview,WA,98632,3715,10,http://www.rctransit.org/,1747,HUPTBCSMTSB1, 31 ," 61,598 ",51283,"Longview, WA--OR",," 69,841 "," 1,985 ", 35 , 11 , 10 , 21 ,,,Tier II,,,
,00017,0T17,Stillaguamish Tribe of Indians,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,3322 236Th St Ne,,277,Arlington,WA,98223,7233,10,http://www.stillaguamish.com/,6801,SCBFR3JUM1W3,,,53,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,00018,0018,Ben Franklin Transit,BFT,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,1000 Columbia Park Trl,,,Richland,WA,99352,4851,10,http://www.bft.org/,1742,QVNLRS9RPUV4, 616 ," 307,750 ",44479,"Kennewick--Richland--Pasco, WA",," 255,401 "," 2,276 ", 112 , 233 , 35 , 268 ,,,Tier I (Non-Fixed Route VOMS),,,
,00019,0019,Intercity Transit,I.T.,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,526 Pattison St Se,,659,Olympia,WA,98501,2076,10,http://www.intercitytransit.com/,1745,CMC8NKZ8XW63, 101 ," 198,000 ",65242,"Olympia--Lacey, WA",," 208,157 "," 1,960 ", 106 , 240 ,, 240 ,,,Tier I (Non-Fixed Route VOMS),,,
,00020,0020,Kitsap Transit,,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,60 Washington Ave Ste 200,,,Bremerton,WA,98337,1888,10,http://www.kitsaptransit.com/,1746,XF87DZ25NQT4, 396 ," 254,183 ",9946,"Bremerton, WA",," 224,449 "," 1,528 ", 147 , 216 , 2 , 218 ,,,Tier II,,,
,00021,0021,Whatcom Transportation Authority,WTA,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,4011 Bakerview Spur,,,Bellingham,WA,98226,8066,10,http://www.ridewta.com/,5092,FFA5NLAKYDU1, 776 ," 225,928 ",6652,"Bellingham, WA",," 128,979 "," 2,573 ", 50 , 96 ,, 96 ,,,Tier II,,,
,00022,0022,City of Pocatello,PRT,Pocatello Regional Transit,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,9/30/2022,1/31/2023,911 N 7Th Ave,,4169,Pocatello,ID,83201,7700,10,http://www.pocatellotransit.com/,1737,C1H5KKGYA7F8," 5,460 "," 175,045 ",70426,"Pocatello, ID",," 72,211 "," 2,629 ", 27 , 24 ,, 24 ,,,Tier II,,,
,00023,0023,City of Seattle,SMS,Seattle Center Monorail,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,370 Thomas St,Second Floor,,Seattle,WA,98109,4622,10,http://www.seattlemonorail.com/,1749,GTE1QV8H9358, 83 ," 753,655 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 ,, 8 , 8 ,,,Tier I (Rail),,,
,00024,0024,Clark County Public Transportation Benefit Area Authority,C-TRAN,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,2425 Ne 65Th Ave,,2529,Vancouver,WA,98661,6809,10,http://www.c-tran.com/,1729,GLHCGVXGNPM7, 143 ," 445,744 ",71317,"Portland, OR--WA",," 2,104,238 "," 4,052 ", 519 , 159 ,, 159 ,,,Tier II,,,
,00025,0025,Salem Area Mass Transit District,SAMTD or SKT,Salem-Keizer Transit or Cherriots,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,6/30/2022,10/31/2022,555 Court St Ne,STE 5230,,Salem,OR,97301,3980,10,http://www.cherriots.org/,1740,R7TNFAGJVZA1, 68 ," 230,118 ",78229,"Salem, OR",," 268,331 "," 3,692 ", 73 , 53 , 96 , 149 ,,,Tier II,,,
,00026,0T26,Bristol Bay Native Association,BBNA,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,1500 Kanakanak Rd,,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,PVN7PNGJS147, 63 ," 2,539 ",,,"Dillingham ANVSA, AK",,,,,, -   ,,,Tier II,,,
,00027,0T27,Confederated Tribes of Siletz Indians,CTSI,,Reduced Reporter,Tribe,Tribe,,,,6/30/2022,10/31/2022,201 S E Swan Ave,,549,Siletz,OR,97380,2077,10,http://www.ctsi.nsn.us/,7043,WQ4YPGKMFVM4,,,,,"Siletz Reservation and Off-Reservation Trust Land, OR",,,,,, -   ,,,Tier II,,,
,00028,0028,County of Pierce,,Pierce County Ferry,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,950 Fawcett Ave Ste 100,,,Tacoma,WA,98402,5603,10,http://www.co.pierce.wa.us/,5013,ZLQHKM7CHCF3, 233 ," 925,708 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 ,, 2 , 2 ,,,Tier II,,,
,00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,2312 W Casino Rd,,,Everett,WA,98204,1440,10,https://www.communitytransit.org/,2578,UMNBEBHJUNL4, 256 ," 806,655 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 400 , 81 , 481 ,,,Tier I (Fixed Route VOMS),,,
,00030,0T30,Chickaloon Native Village,CATs,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,9255 N Glenn Highway,,,Palmer,AK,99645,,10,http://www.chickaloontransit.com,6666,YWH8Q1JLRDN9,,,2,Alaska Non-UZA,"Chickaloon ANVSA, AK"," 359,299 ", -   , -   , 2 ,, 2 ,,,Tier II,,,
,00031,0T31,Shoshone-Bannock Tribes ,SBTDOT,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,85 W Agency Rd Bldg 82,,306,Fort Hall,ID,83203,,10,http://www.sbtribes.com/,6976,PFM3F9M7MG44,, -   ,16,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID"," 836,252 ", -   , -   , 7 ,, 7 ,,,Tier II,,,
0R03,00033,0R03-021,Senior Services of Snohomish County,Senior Services,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,0R03,Washington State Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,5026 196Th St Sw,,,Lynnwood,WA,98036,6102,10,http://www.sssc.org/,1724,FV3PNPMJB534,,,80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 14 ,, 14 , -   , -   ,Tier II,,,
,00034,0034,Rogue Valley Transportation District,RVTD,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,6/30/2022,10/31/2022,3200 Crater Lake Ave,,,Medford,OR,97504,9075,10,http://www.rvtd.org/,1739,FNZXSNMFA535, 78 ," 173,199 ",55981,"Medford, OR",," 171,640 "," 2,724 ", 63 , 28 , 17 , 45 ,,,Tier II,,,
,00035,0035,Washington State Ferries,WSF,,Full Reporter,Urban,Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,310 Maple Park Ave Se,,,Olympia,WA,98501,2348,10,http://www.wsdot.wa.gov/ferries/,1724,FCT9KQ8L2574," 1,945 "," 3,919,300 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 17 ,, 17 ,,,Tier II,,,
,00036,0T36,Makah Tribal Council,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,201 Resort Dr,,,Neah Bay,WA,98357,115,10,http://www.makah.com/,6907,DTRYXWQJF723,,,53,Washington Non-UZA,"Makah Indian Reservation, WA"," 1,895,776 ", -   , -   , 1 ,, 1 ,,,Tier II,,,
,00040,0040,Central Puget Sound Regional Transit Authority,ST,Sound Transit,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,401 S Jackson St,,,Seattle,WA,98104,2826,10,http://www.soundtransit.org/,5656,GPFAQBCY95D3," 1,087 "," 3,306,990 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 221 , 100 , 321 ,,,Tier I (Rail),,,
,00041,0041,Alaska Railroad Corporation,ARRC,,Full Reporter,Urban,Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,327 Ship Creek Ave W,,107500,Anchorage,AK,99501,1671,10,http://www.alaskarailroad.com,5806,NTFBL2RJ7X99, 266 ," 352,701 ",2305,"Anchorage, AK",," 249,252 "," 2,718 ", 92 , 60 ,, 60 ,,,Tier I (Rail),,,
,00043,0043,Chelan Douglas PTBA ,,Link Transit,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,2700 Euclid Ave,,,Wenatchee,WA,98801,5914,10,http://www.linktransit.com/,5606,MV3YVKFM9W77, 197 ," 108,660 ",93862,"Wenatchee, WA",," 78,142 "," 2,397 ", 33 , 49 , 3 , 52 ,,,Tier II,,,
,00044,0044,Skagit Transit,SKT,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,600 County Shop Ln,,,Burlington,WA,98233,9772,10,https://www.skagittransit.org/,5816,KL82E3EQNM61, 760 ," 116,627 ",60490,"Mount Vernon, WA",," 66,825 "," 2,179 ", 31 , 69 ,, 69 ,,,Tier II,,,
,00045,0045,Fairbanks North Star Borough ,MACS,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,907 Terminal St,,,Fairbanks,AK,99701,2868,10,http://www.co.fairbanks.ak.us/transportation/,1734,KBLKNWKWRAX5," 7,338 "," 95,593 ",28549,"Fairbanks, AK",," 71,396 ", 961 , 74 , 18 ,, 18 ,,,Tier II,,,
,00046,0046,City of Wilsonville,SMART,South Metro Area Regional Transit,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,29799 Sw Town Center Loop E,,,Wilsonville,OR,97070,9454,10,http://www.ridesmart.com/,5706,J9AUEWEGF9L7, 80 ," 73,800 ",71317,"Portland, OR--WA",," 2,104,238 "," 4,052 ", 519 , 19 ,, 19 ,,,Tier II,,,
,00047,0047,City of Corvallis,CTS,Corvallis Transit System,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,501 Sw Madison Ave,,1083,Corvallis,OR,97333,4601,10,http://www.corvallisoregon.gov/cts,5664,P6JYFJDEZWF8, 14 ," 62,272 ",20422,"Corvallis, OR",," 66,791 "," 3,827 ", 17 ,, 11 , 11 ,,,Tier II,,,
,00048,0048,City of Lewiston,Lewiston Transit System,Lewiston Transit System,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,9/30/2022,1/31/2023,1134 F St,,617,Lewiston,ID,83501,1930,10,http://www.ridethevalley.org,5981,USMMWLRUYBD5, 17 ," 54,798 ",49312,"Lewiston, ID--WA",," 54,798 "," 1,962 ", 28 , 4 ,, 4 ,,,Tier II,,,
,00051,0051,Asotin County,PTBA,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,1494 Poplar St,,,Clarkston,WA,99403,2348,10,http://www.asotincoptba.com,6450,XEMWMJSAKYW8, 20 ," 21,888 ",49312,"Lewiston, ID--WA",," 54,798 "," 1,962 ", 28 , 13 ,, 13 ,,,Tier II,,,
,00053,0053,Coeur d'Alene Tribe,Citylink,Citylink Transit,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,850 A St,,236,Plummer,ID,83851,7000,10,http://www.idahocitylink.com/,6807,VMMMDTT25GV5, 388 ," 21,188 ",18451,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID"," 121,831 "," 2,606 ", 47 , 7 ,, 7 ,,,Tier II,,,
,00055,0055,Kootenai County,KC,Kootenai County Citylink North,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,9/30/2022,1/31/2023,451 N Government Way,,9000,Coeur D Alene,ID,83814,2988,10,http://www.kcgov.us/,6283,JDGLH97AM1R1, 32 ," 90,132 ",18451,"Coeur d'Alene, ID",," 121,831 "," 2,606 ", 47 ,, 4 , 4 ,,,Tier II,,,
,00057,0057,Central Oregon Intergovernmental Council,CET,Cascades East Transit,Full Reporter,Urban,COG or Other Planning Agency,,,,6/30/2022,10/31/2022,334 Ne Hawthorne Ave,,,Bend,OR,97701,4727,10,https://www.coic.org/transportation/cascade-east-transit/,7112,HWSZUENCALS5, 78 ," 156,297 ",6868,"Bend, OR",," 106,988 "," 2,523 ", 42 , 20 , 21 , 41 ,,,Tier II,,,
,00058,0058,City of Portland,PBOT,,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,1221 Sw 4Th Ave,Suite 1331,,Portland,OR,97204,1900,10,https://www.portland.gov/transportation,1728,N5NMTXG2UE65, 11 ," 97,377 ",71317,"Portland, OR--WA",," 2,104,238 "," 4,052 ", 519 ,, 14 , 14 ,,,Tier I (Rail),,,
,00059,0059,Josephine County,JCT,Josephine Community Transit,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,201 River Heights Way,,,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/SectionIndex.asp?SectionID=164,6746,GHCKNZMHPP51, 80 ," 48,000 ",34516,"Grants Pass, OR",," 55,724 "," 1,832 ", 30 , 14 ,, 14 ,,,Tier II,,,
,00060,0060,The Tulalip Tribes of Washington,TTT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,6406 Marine Dr,,,Tulalip,WA,98271,9775,10,http://www.tulaliptribes-nsn.gov/,6977,ELUVLMGA6RD1, 19 ," 5,303 ",53,Washington Non-UZA,"Tulalip Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 1 ,, 1 ,,,Tier II,,,
,00061,0061,City of Albany,ATS,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,333 Broadalbin St Sw,,490,Albany,OR,97321,2247,10,"albanytransit.com,taketheloop.com",5676,ZBCVCUBFETA2, 20 ," 50,724 ",955,"Albany, OR",," 62,074 "," 2,693 ", 23 , 15 ,, 15 ,,,Tier II,,,
,00063,0063,City of Milton-Freewater,,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,722 S Main St,,6,Milton Freewater,OR,97862,1453,10,http://www.mfcity.com/,7213,SMYLH8JBC7L5, 79 ," 8,640 ",41,Oregon Non-UZA,," 1,553,447 ", -   , -   ,, 2 , 2 ,,,Tier II,,,
,00064,0064,Valley Transit,VT,,Reduced Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,1401 W Rose St,,,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,E3SFN4BCQ5X8, 25 ," 46,914 ",91405,"Walla Walla, WA--OR",," 50,013 "," 2,096 ", 24 , 18 ,, 18 ,,,Tier II,,,
,00065,0065,Benton County,BAT,Benton Area Transit,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,4500 Sw Research Way,,1083,Corvallis,OR,97333,1093,10,www.RidetheBAT.com,1723,DWAANDYBQH65, 679 ," 96,017 ",20422,"Corvallis, OR",," 66,791 "," 3,827 ", 17 ,, 15 , 15 ,,,Tier II,,,
,00075,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,K4ZDA84UXNN5, -   , -   ,,,"Grand Ronde Community and Off-Reservation Trust Land, OR",,,,,, -   ,,,Tier II,,,
,00085,0T08,Gulkana Village Council,SET,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,Mile 127 Richardson Hwy,,254,Gakona,AK,99586,254,10,http://www.soaringeagletransit.com,6667,QL7BYD83M133,,,2,Alaska Non-UZA,"Tazlina ANVSA, AK; Gakona ANVSA, AK; Copper Center ANVSA, AK; Chitina ANVSA, AK; Chistochina ANVSA, AK; Gulkana ANVSA, AK"," 359,299 ", -   , -   , 3 ,, 3 ,,,Tier II,,,
,00095,0T11,Lummi Nation,LIBC,Lummi Indian Business Council,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,2665 Kwina Rd,,,Bellingham,WA,98226,9291,10,http://lummi-nsn.gov/,6684,TP4UB9N6TSA5,,,53,Washington Non-UZA,"Lummi Reservation, WA"," 1,895,776 ", -   , -   , 2 ,, 2 ,,,Tier II,,,
,00103,0T16,Squaxin Island Tribe,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,10 Se Squaxin Ln,,,Shelton,WA,98584,9200,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,Z7LUCA1NAJ85,,,53,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 4 ,, 4 ,,,Tier II,,,
,00111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,Confederated Tribes and Bands of the Yakama Nation,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,401 Fort Rd,,151,Toppenish,WA,98948,,10,http://www.pahtotransit.com,6679,Q4EDSUR34U61, -   , -   ,53,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,00119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,46411 Timine Way,,,Pendleton,OR,97801,9467,10,https://ctuir.org/tribal-services/planning/kayak-public-transit,6800,MX2KEMW2J5Z3,,,41,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR--WA"," 1,553,447 ", -   , -   , 7 ,, 7 ,,,Tier II,,,
,00127,0T07,Cowlitz Indian Tribe,CITDOT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,1055 9Th Ave,,2547,Longview,WA,98632,2662,10,http://www.cowlitz.org/,6808,PG4FZK2YY5T1, -   , -   ,53,Washington Non-UZA,"Cowlitz Reservation, WA"," 1,895,776 ", -   , -   , 7 ,, 7 ,,,Tier II,,,
,00135,0T12,Nez Perce Tribe,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,44957,120 Bever Grade,,365,Lapwai,ID,83540,,10,http://www.nezperce.org/,5972,N6M5CKJT8G71,,,16,Idaho Non-UZA,"Nez Perce Reservation, ID"," 836,252 ", -   , -   , 4 ,, 4 ,,,Tier II,,,
,00199,0T23,Seldovia Village Tribe,SVT,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,206 Main St,,,Seldovia,AK,99663,,10,http://seldoviabayferry.com,6744,E1KRVY671B35,,,2,Alaska Non-UZA,"Seldovia ANVSA, AK", -   , -   , -   , 1 ,, 1 ,,,Tier II,,,
,00207,0T24,Spokane Tribe of Indians,TME,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,6195 Ford Wellpinit Rd,6195 Ford Wellpinit Rd,100,Wellpinit,WA,99040,9707,10,http://www.spokanetribe.com/,6937,Q4XPD6M7TNE7,,,53,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 11 ,, 11 ,,,Tier II,,,
,00223,0T28,Jamestown S'Klallam Tribe,JST,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,1033 Old Blyn Hwy,,,Sequim,WA,98382,7670,10,http://www.jamestowntribe.org/,6986,MLVMMNN8LJS7,,,,,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",,,,,, -   ,,,Tier II,,,
,00231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,1233 Veterans St,,C,Warm Springs,OR,97761,,10,https://warmsprings-nsn.gov/,6978,HLTFBD3FTDG8,,,,,"Warm Springs Reservation and Off-Reservation Trust Land, OR",,,,,, -   ,,,Tier II,,,
,00239,0T34,Ketchikan Indian Community,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,2960 Tongass Ave,,,Ketchikan,AK,99901,5742,10,www.kictribe.org,7287,NLA4XF2E97L3,,,2,Alaska Non-UZA,"Ketchikan ANVSA, AK"," 359,299 ", -   , -   , 3 ,, 3 ,,,Tier II,,,
