name,county_fips,state_usps
"Mankato, MN",103,MN
"Mansfield, OH",139,OH
"Marietta, OH",167,OH
"Marinette, WI-MI",109,MI
"Marinette, WI-MI",075,WI
"Marion, IN",053,IN
"Marion, OH",101,OH
"Marquette, MI",103,MI
"Marshall, MN",083,MN
"Meadville, PA",039,PA
"Menomonie, WI",033,WI
"Michigan City-La Porte, IN",091,IN
"Midland, MI",111,MI
"Milwaukee-Waukesha, WI",079,WI
"Milwaukee-Waukesha, WI",089,WI
"Milwaukee-Waukesha, WI",131,WI
"Milwaukee-Waukesha, WI",133,WI
"Minneapolis-St. Paul-Bloomington, MN-WI",003,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",019,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",025,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",037,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",053,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",059,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",079,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",095,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",123,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",139,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",141,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",163,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",171,MN
"Minneapolis-St. Paul-Bloomington, MN-WI",093,WI
"Minneapolis-St. Paul-Bloomington, MN-WI",109,WI
"Minot, ND",049,ND
"Minot, ND",075,ND
"Minot, ND",101,ND
"Monroe, MI",115,MI
"Mount Pleasant, MI",073,MI
"Mount Vernon, IL",081,IL
"Mount Vernon, OH",083,OH
"Muncie, IN",035,IN
"New Castle, IN",065,IN
"New Philadelphia-Dover, OH",157,OH
"New Ulm, MN",015,MN
"Niles, MI",021,MI
"Norwalk, OH",077,OH
"Oil City, PA",121,PA
"Olean, NY",009,NY
"Oneonta, NY",077,NY
"Oshkosh-Neenah, WI",139,WI
"Ottawa, IL",011,IL
"Ottawa, IL",099,IL
"Ottawa, IL",155,IL
"Owatonna, MN",147,MN
"Paducah, KY-IL",127,IL
"Paducah, KY-IL",007,KY
"Paducah, KY-IL",039,KY
"Paducah, KY-IL",139,KY
"Paducah, KY-IL",145,KY
"Peoria, IL",123,IL
"Peoria, IL",143,IL
"Peoria, IL",175,IL
"Peoria, IL",179,IL
"Peoria, IL",203,IL
"Peru, IN",103,IN
"Pittsburgh, PA",003,PA
"Pittsburgh, PA",005,PA
"Pittsburgh, PA",007,PA
"Pittsburgh, PA",019,PA
"Pittsburgh, PA",051,PA
"Pittsburgh, PA",073,PA
"Pittsburgh, PA",125,PA
"Pittsburgh, PA",129,PA
"Pittsfield, MA",003,MA
"Platteville, WI",043,WI
"Plattsburgh, NY",019,NY
"Plymouth, IN",099,IN
"Pontiac, IL",105,IL
"Portsmouth, OH",145,OH
"Pottsville, PA",107,PA
"Quincy, IL-MO",001,IL
"Quincy, IL-MO",111,MO
"Reading, PA",011,PA
"Red Wing, MN",049,MN
"Richmond, IN",177,IN
"Rochelle, IL",141,IL
"Rochester, MN",039,MN
"Rochester, MN",045,MN
"Rochester, MN",109,MN
"Rochester, MN",157,MN
"Rochester, NY",051,NY
"Rochester, NY",055,NY
"Rochester, NY",069,NY
"Rochester, NY",073,NY
"Rochester, NY",117,NY
"Rockford, IL",007,IL
"Rockford, IL",201,IL
"Rutland, VT",021,VT
"Saginaw, MI",145,MI
"St. Cloud, MN",009,MN
"St. Cloud, MN",145,MN
"St. Louis, MO-IL",005,IL
"St. Louis, MO-IL",013,IL
"St. Louis, MO-IL",027,IL
"St. Louis, MO-IL",083,IL
"St. Louis, MO-IL",117,IL
"St. Louis, MO-IL",119,IL
"St. Louis, MO-IL",133,IL
"St. Louis, MO-IL",163,IL
"St. Louis, MO-IL",071,MO
"St. Louis, MO-IL",099,MO
"St. Louis, MO-IL",113,MO
"St. Louis, MO-IL",183,MO
"St. Louis, MO-IL",189,MO
"St. Louis, MO-IL",219,MO
"St. Louis, MO-IL",510,MO
"St. Marys, PA",047,PA
"Salem, OH",029,OH
"Sandusky, OH",043,OH
"Sandusky, OH",123,OH
"Sault Ste. Marie, MI",033,MI
"Sayre, PA",015,PA
"Scranton--Wilkes-Barre, PA",069,PA
"Scranton--Wilkes-Barre, PA",079,PA
"Scranton--Wilkes-Barre, PA",131,PA
"Selinsgrove, PA",109,PA
"Seneca Falls, NY",099,NY
"Seymour, IN",071,IN
"Shawano, WI",078,WI
"Shawano, WI",115,WI
"Sheboygan, WI",117,WI
"Sidney, OH",149,OH
"Somerset, PA",111,PA
"South Bend-Mishawaka, IN-MI",141,IN
"South Bend-Mishawaka, IN-MI",027,MI
"Springfield, IL",129,IL
"Springfield, IL",167,IL
"Springfield, MA",013,MA
"Springfield, OH",023,OH
"State College, PA",027,PA
"Sterling, IL",195,IL
"Sturgis, MI",149,MI
"Sunbury, PA",093,PA
"Sunbury, PA",097,PA
"Syracuse, NY",053,NY
"Syracuse, NY",067,NY
"Syracuse, NY",075,NY
"Taylorville, IL",021,IL
"Terre Haute, IN",021,IN
"Terre Haute, IN",153,IN
"Terre Haute, IN",165,IN
"Terre Haute, IN",167,IN
"Tiffin, OH",147,OH
"Toledo, OH",051,OH
"Toledo, OH",095,OH
"Toledo, OH",173,OH
"Traverse City, MI",019,MI
"Traverse City, MI",055,MI
"Traverse City, MI",079,MI
"Traverse City, MI",089,MI
"Trenton-Princeton, NJ",021,NJ
"Urbana, OH",021,OH
"Utica-Rome, NY",043,NY
"Utica-Rome, NY",065,NY
"Van Wert, OH",161,OH
"Vincennes, IN",083,IN
"Wabash, IN",169,IN
"Wahpeton, ND-MN",167,MN
"Wahpeton, ND-MN",077,ND
"Wapakoneta, OH",011,OH
"Warren, PA",123,PA
"Warsaw, IN",085,IN
"Washington, IN",027,IN
"Washington Court House, OH",047,OH
"Watertown-Fort Atkinson, WI",055,WI
"Watertown-Fort Drum, NY",045,NY
"Weirton-Steubenville, WV-OH",081,OH
"Weirton-Steubenville, WV-OH",009,WV
"Weirton-Steubenville, WV-OH",029,WV
"Wheeling, WV-OH",013,OH
"Wheeling, WV-OH",051,WV
"Wheeling, WV-OH",069,WV
"Williamsport, PA",081,PA
"Williston, ND",105,ND
"Willmar, MN",067,MN
"Wilmington, OH",027,OH
"Winona, MN",169,MN
"Wisconsin Rapids-Marshfield, WI",141,WI
"Wooster, OH",169,OH
"Worthington, MN",105,MN
"York-Hanover, PA",133,PA
"Zanesville, OH",119,OH
"Berlin, NH",007,NH
"Bucyrus-Galion, OH",033,OH
"Buffalo-Cheektowaga, NY",029,NY
"Buffalo-Cheektowaga, NY",063,NY
"Dayton-Kettering, OH",057,OH
"Dayton-Kettering, OH",109,OH
"Dayton-Kettering, OH",113,OH
"Fairmont, MN",091,MN
"Grand Rapids, MN",061,MN
"Grand Rapids-Kentwood, MI",015,MI
"Grand Rapids-Kentwood, MI",067,MI
"Grand Rapids-Kentwood, MI",081,MI
"Grand Rapids-Kentwood, MI",117,MI
"Grand Rapids-Kentwood, MI",139,MI
"Lebanon, NH-VT",017,VT
"Lebanon, NH-VT",027,VT
"Lebanon, NH-VT",009,NH
"Lebanon, NH-VT",019,NH
"Mankato, MN",013,MN
"Mankato, MN",103,MN
"Milwaukee-Waukesha, WI",079,WI
"Milwaukee-Waukesha, WI",133,WI
"Milwaukee-Waukesha, WI",131,WI
"Milwaukee-Waukesha, WI",089,WI
"Niles, MI",021,MI
"Ottawa, IL",011,IL
"Ottawa, IL",099,IL
"Ottawa, IL",155,IL
"Poughkeepsie-Newburgh-Middletown, NY",027,NY
"Poughkeepsie-Newburgh-Middletown, NY",071,NY
"St. Marys, PA",047,PA
"Scottsburg, IN",143,IN
"Stevens Point, WI",097,WI
"Wausau-Weston, WI",069,WI
"Wausau-Weston, WI",073,WI
"Whitewater, WI",127,WI
